iter	Passed	Remaining
748	4319	24517
749	4324	24505
750	4328	24491
751	4333	24478
752	4337	24465
753	4342	24452
754	4346	24439
755	4351	24427
756	4355	24414
757	4360	24401
758	4364	24387
759	4369	24374
760	4373	24361
761	4378	24349
762	4382	24337
763	4387	24324
764	4391	24311
765	4396	24298
766	4400	24285
767	4404	24272
768	4409	24258
769	4413	24246
770	4417	24232
771	4422	24221
772	4427	24208
773	4431	24197
774	4436	24183
775	4440	24170
776	4444	24156
777	4449	24144
778	4456	24148
779	4467	24170
780	4478	24194
781	4484	24188
782	4496	24214
783	4501	24207
784	4512	24232
785	4526	24269
786	4532	24262
787	4540	24270
788	4552	24295
789	4563	24321
790	4569	24313
791	4581	24342
792	4587	24336
793	4599	24364
794	4609	24383
795	4615	24374
796	4623	24382
797	4634	24404
798	4645	24426
799	4650	24417
800	4662	24440
801	4667	24431
802	4678	24455
803	4683	24444
804	4695	24468
805	4701	24466
806	4714	24495
807	4723	24506
808	4733	24522
809	4744	24543
810	4750	24535
811	4761	24555
812	4765	24544
813	4775	24560
814	4786	24576
815	4797	24598
816	4806	24609
817	4816	24623
818	4827	24643
819	4832	24632
820	4842	24650
821	4851	24658
822	4863	24686
823	4872	24695
824	4881	24704
825	4891	24718
826	4900	24730
827	4912	24752
828	4917	24743
829	4930	24771
830	4937	24768
831	4947	24784
832	4957	24799
833	4962	24789
834	4967	24777
835	4979	24803
836	4986	24798
837	4997	24819
838	5007	24833
839	5014	24835
840	5025	24851
841	5031	24848
842	5042	24866
843	5049	24863
844	5060	24881
845	5066	24879
846	5080	24909
847	5090	24926
848	5099	24931
849	5111	24957
850	5120	24964
851	5125	24953
852	5130	24943
853	5140	24955
854	5148	24958
855	5159	24977
856	5165	24972
857	5170	24962
858	5175	24949
859	5180	24937
860	5185	24928
861	5190	24916
862	5195	24904
863	5200	24893
864	5205	24882
865	5210	24871
866	5215	24861
867	5219	24848
868	5224	24837
869	5229	24825
870	5234	24815
871	5239	24803
872	5244	24792
873	5249	24780
874	5254	24768
875	5258	24757
876	5263	24744
877	5268	24734
878	5273	24724
879	5277	24710
880	5282	24696
881	5286	24684
882	5291	24671
883	5295	24658
884	5300	24645
885	5304	24632
886	5309	24619
887	5314	24607
888	5318	24593
889	5322	24581
890	5327	24568
891	5332	24556
892	5343	24576
893	5349	24569
894	5361	24593
895	5371	24602
896	5379	24606
897	5389	24620
898	5396	24618
899	5407	24632
900	5415	24635
901	5426	24654
902	5432	24646
903	5445	24671
904	5455	24684
905	5459	24672
906	5465	24662
907	5477	24685
908	5482	24672
909	5494	24696
910	5503	24703
911	5513	24715
912	5524	24730
